"","PMID","Title","Authors","Citation","First.Author","Journal.Book","Publication.Year","Create.Date","PMCID","NIHMS.ID","DOI"
"1",34571149,"Prophylactic effect of cutaneous leishmaniasis against COVID-19: a case-control field assessment","Bamorovat M, Sharifi I, Aflatoonian MR, Karamoozian A, Tahmouresi A, Jafarzadeh A, Heshmatkhah A, Sharifi F, Salarkia E, Khaleghi T, Khosravi A, Nooshadokht M, Zarandi MB, Barghi M.","Int J Infect Dis. 2022 Sep;122:155-161. doi: 10.1016/j.ijid.2021.09.050. Epub 2021 Sep 24.","Bamorovat M","Int J Infect Dis",2022,"2021/09/27","PMC8461267","","10.1016/j.ijid.2021.09.050"
"2",34953520,"Efficacy and safety of two neutralising monoclonal antibody therapies, sotrovimab and BRII-196 plus BRII-198, for adults hospitalised with COVID-19 (TICO): a randomised controlled trial","ACTIV-3/Therapeutics for Inpatients with COVID-19 (TICO) Study Group.","Lancet Infect Dis. 2022 May;22(5):622-635. doi: 10.1016/S1473-3099(21)00751-9. Epub 2021 Dec 23.","ACTIV-3/Therapeutics for Inpatients with COVID-19 (TICO) Study Group","Lancet Infect Dis",2022,"2021/12/26","PMC8700279","","10.1016/S1473-3099(21)00751-9"
"3",34951954,"The European clinical research response to optimise treatment of patients with COVID-19: lessons learned, future perspective, and recommendations","Goossens H, Derde L, Horby P, Bonten M.","Lancet Infect Dis. 2022 May;22(5):e153-e158. doi: 10.1016/S1473-3099(21)00705-2. Epub 2021 Dec 21.","Goossens H","Lancet Infect Dis",2022,"2021/12/24","PMC8691848","","10.1016/S1473-3099(21)00705-2"
"4",34547457,"The temporal course of T- and B-cell responses to vaccination with BNT162b2 and mRNA-1273","Markewitz R, Pauli D, Dargvainiene J, Steinhagen K, Engel S, Herbst V, Zapf D, Krüger C, Sharifzadeh S, Schomburg B, Leypoldt F, Rupp J, Görg S, Junker R, Wandinger KP.","Clin Microbiol Infect. 2022 May;28(5):701-709. doi: 10.1016/j.cmi.2021.09.006. Epub 2021 Sep 20.","Markewitz R","Clin Microbiol Infect",2022,"2021/09/21","PMC8450229","","10.1016/j.cmi.2021.09.006"
"5",34543759,"Seroprevalence of SARS-CoV-2 antibodies and reduced risk of reinfection through 6 months: a Danish observational cohort study of 44 000 healthcare workers","Iversen K, Kristensen JH, Hasselbalch RB, Pries-Heje M, Nielsen PB, Knudsen AD, Fogh K, Norsk JB, Andersen O, Fischer TK, Juul Jensen CA, Torp-Pedersen C, Rungby J, Ditlev SB, Hageman I, Møgelvang R, Gybel-Brask M, Dessau RB, Sørensen E, Harritshøj L, Folke F, Sten C, Engel Møller ME, Benfield T, Ullum H, Jørgensen CS, Erikstrup C, Ostrowski SR, Nielsen SD, Bundgaard H.","Clin Microbiol Infect. 2022 May;28(5):710-717. doi: 10.1016/j.cmi.2021.09.005. Epub 2021 Sep 17.","Iversen K","Clin Microbiol Infect",2022,"2021/09/20","PMC8447554","","10.1016/j.cmi.2021.09.005"
"6",34363945,"Self-testing for the detection of SARS-CoV-2 infection with rapid antigen tests for people with suspected COVID-19 in the community","Stohr JJJM, Zwart VF, Goderski G, Meijer A, Nagel-Imming CRS, Kluytmans-van den Bergh MFQ, Pas SD, van den Oetelaar F, Hellwich M, Gan KH, Rietveld A, Verweij JJ, Murk JL, van den Bijllaardt W, Kluytmans JAJW.","Clin Microbiol Infect. 2022 May;28(5):695-700. doi: 10.1016/j.cmi.2021.07.039. Epub 2021 Aug 4.","Stohr JJJM","Clin Microbiol Infect",2022,"2021/08/07","PMC8336990","","10.1016/j.cmi.2021.07.039"
"7",34958917,"Outbreak of SARS-CoV-2 B.1.617.2 (delta) variant in a nursing home 28 weeks after two doses of mRNA anti-COVID-19 vaccines: evidence of a waning immunity","Pierobon A, Zotto AD, Antico A, De Antoni ME, Vianello L, Gennari M, Di Caprio A, Russo F, Brambilla G, Saugo M.","Clin Microbiol Infect. 2022 Apr;28(4):614.e5-614.e7. doi: 10.1016/j.cmi.2021.12.013. Epub 2021 Dec 24.","Pierobon A","Clin Microbiol Infect",2022,"2021/12/27","PMC8704894","","10.1016/j.cmi.2021.12.013"
"8",34954127,"Persistence of the neutralizing antibody response after SARS-CoV-2 infection","Shim SM, Kim JW, Jung S, Jung Y, Woo HM, Yang JS, Kim KC, Lee JY.","Clin Microbiol Infect. 2022 Apr;28(4):614.e1-614.e4. doi: 10.1016/j.cmi.2021.12.012. Epub 2021 Dec 23.","Shim SM","Clin Microbiol Infect",2022,"2021/12/26","PMC8695319","","10.1016/j.cmi.2021.12.012"
"9",34953536,"All-cause mortality during the COVID-19 pandemic in Chennai, India: an observational study","Lewnard JA, Mahmud A, Narayan T, Wahl B, Selvavinayagam TS, Mohan B C, Laxminarayan R.","Lancet Infect Dis. 2022 Apr;22(4):463-472. doi: 10.1016/S1473-3099(21)00746-5. Epub 2021 Dec 22.","Lewnard JA","Lancet Infect Dis",2022,"2021/12/26","PMC8694707","","10.1016/S1473-3099(21)00746-5"
"10",34951953,"A clinical case definition of post-COVID-19 condition by a Delphi consensus","Soriano JB, Murthy S, Marshall JC, Relan P, Diaz JV; WHO Clinical Case Definition Working Group on Post-COVID-19 Condition.","Lancet Infect Dis. 2022 Apr;22(4):e102-e107. doi: 10.1016/S1473-3099(21)00703-9. Epub 2021 Dec 21.","Soriano JB","Lancet Infect Dis",2022,"2021/12/24","PMC8691845","","10.1016/S1473-3099(21)00703-9"
"11",34942090,"Safety and immunogenicity of the Vi-DT typhoid conjugate vaccine in healthy volunteers in Nepal: an observer-blind, active-controlled, randomised, non-inferiority, phase 3 trial","Kumar Rai G, Saluja T, Chaudhary S, Tamrakar D, Kanodia P, Giri BR, Shrestha R, Uranw S, Kim DR, Yang JS, Park IY, Kyung SE, Vemula S, Reddy E J, Kim B, Gupta BP, Jo SK, Ryu JH, Park HK, Shin JH, Lee Y, Kim H, Kim JH, Mojares ZR, Wartel TA, Sahastrabuddhe S.","Lancet Infect Dis. 2022 Apr;22(4):529-540. doi: 10.1016/S1473-3099(21)00455-2. Epub 2021 Dec 20.","Kumar Rai G","Lancet Infect Dis",2022,"2021/12/23","PMC8942857","","10.1016/S1473-3099(21)00455-2"
"12",34915073,"Postvaccination infections among staff of a tertiary care hospital after vaccination with severe acute respiratory syndrome coronavirus 2 vector and mRNA-based vaccines","Brunner-Ziegler S, Spath T, Kornek G, König F, Parschalk B, Schnetzinger M, Straßl RP, Savic R, Foit A, Resch H, Thalhammer F.","Clin Microbiol Infect. 2022 Apr;28(4):596-601. doi: 10.1016/j.cmi.2021.11.023. Epub 2021 Dec 13.","Brunner-Ziegler S","Clin Microbiol Infect",2022,"2021/12/16","PMC8667425","","10.1016/j.cmi.2021.11.023"
"13",34890537,"Immunogenicity and safety of a third dose of CoronaVac, and immune persistence of a two-dose schedule, in healthy adults: interim results from two single-centre, double-blind, randomised, placebo-controlled phase 2 clinical trials","Zeng G, Wu Q, Pan H, Li M, Yang J, Wang L, Wu Z, Jiang D, Deng X, Chu K, Zheng W, Wang L, Lu W, Han B, Zhao Y, Zhu F, Yu H, Yin W.","Lancet Infect Dis. 2022 Apr;22(4):483-495. doi: 10.1016/S1473-3099(21)00681-2. Epub 2021 Dec 8.","Zeng G","Lancet Infect Dis",2022,"2021/12/10","PMC8651254","","10.1016/S1473-3099(21)00681-2"
"14",34861410,"Severe acute respiratory syndrome coronavirus 2 causes lung inflammation and injury","Wang LL, Yang JW, Xu JF.","Clin Microbiol Infect. 2022 Apr;28(4):513-520. doi: 10.1016/j.cmi.2021.11.022. Epub 2021 Dec 1.","Wang LL","Clin Microbiol Infect",2022,"2021/12/03","PMC8632799","","10.1016/j.cmi.2021.11.022"
"15",34843962,"Predictors and microbiology of respiratory and bloodstream bacterial infection in patients with COVID-19: living rapid review update and meta-regression","Langford BJ, So M, Leung V, Raybardhan S, Lo J, Kan T, Leung F, Westwood D, Daneman N, MacFadden DR, Soucy JR.","Clin Microbiol Infect. 2022 Apr;28(4):491-501. doi: 10.1016/j.cmi.2021.11.008. Epub 2021 Nov 26.","Langford BJ","Clin Microbiol Infect",2022,"2021/11/29","PMC8619885","","10.1016/j.cmi.2021.11.008"
