"pmid","pmcid_pmc","pmcid_uid","doi","filename","is_research","is_review","is_relevant_data","is_relevant_code","article","is_open_data","open_data_category","is_open_code","open_data_statements","open_code_statements","is_success"
"29771281","","6128403","10.1093/cid/ciy403","./publications/PMC6128403.xml",TRUE,FALSE,TRUE,FALSE,"10.1093/cid/ciy403",FALSE,"",FALSE,"","",TRUE
"30085139","","6284543","10.1093/infdis/jiy465","./publications/PMC6284543.xml",TRUE,FALSE,TRUE,TRUE,"10.1093/infdis/jiy465",FALSE,"",FALSE,"","",TRUE
"30113672","","6284544","10.1093/infdis/jiy466","./publications/PMC6284544.xml",TRUE,FALSE,TRUE,TRUE,"10.1093/infdis/jiy466",FALSE,"",FALSE,"","",TRUE
"30107412","","6284547","10.1093/infdis/jiy477","./publications/PMC6284547.xml",TRUE,FALSE,TRUE,TRUE,"10.1093/infdis/jiy477",FALSE,"",FALSE,"","",TRUE
"30107546","","6284549","10.1093/infdis/jiy495","./publications/PMC6284549.xml",TRUE,FALSE,TRUE,FALSE,"10.1093/infdis/jiy495",FALSE,"",FALSE,"","",TRUE
"29762662","","6293004","10.1093/cid/ciy399","./publications/PMC6293004.xml",TRUE,FALSE,TRUE,TRUE,"10.1093/cid/ciy399",FALSE,"",FALSE,"","",TRUE
"29982375","","6293007","10.1093/cid/ciy544","./publications/PMC6293007.xml",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"29771296","","6293037","10.1093/cid/ciy400","./publications/PMC6293037.xml",TRUE,FALSE,TRUE,TRUE,"10.1093/cid/ciy400",FALSE,"",FALSE,"","",TRUE
"29893821","","6293039","10.1093/cid/ciy486","./publications/PMC6293039.xml",TRUE,FALSE,TRUE,FALSE,"10.1093/cid/ciy486",TRUE,"field-specific repository",FALSE,"genbank accession numbers ( mh324826 mh324827 mh324828 ) are provided for each viral segment.","",TRUE
"30295754","","6293085","10.1093/jac/dky391","./publications/PMC6293085.xml",TRUE,FALSE,TRUE,TRUE,"10.1093/jac/dky391",TRUE,"field-specific repository",FALSE,"for cgmlst a distance matrix based on the number of variable alleles was generated by the genome comparator tool and a neighbour-net phylogenetic network figure was generated using splitstree4 (version 4 14 5) the genome of a serogroup w meningococcal strain m7124 (genbank accession number cp009419 1 ) was included as an outgroup in the cgmlst analysis.","",TRUE
"30295746","","6293087","10.1093/jac/dky402","./publications/PMC6293087.xml",TRUE,FALSE,TRUE,TRUE,"10.1093/jac/dky402",FALSE,"",FALSE,"","",TRUE
"30472178","","6300480","10.1016/S1473-3099(18)30512-7","./publications/PMC6300480.xml",TRUE,FALSE,TRUE,FALSE,"10.1016/S1473-3099(18)30512-7",FALSE,"",FALSE,"","",TRUE
"30409683","","6300481","10.1016/S1473-3099(18)30605-4","./publications/PMC6300481.xml",TRUE,FALSE,TRUE,TRUE,"10.1016/S1473-3099(18)30605-4",FALSE,"",FALSE,"","",TRUE
"30587297","","6300482","10.1016/S1473-3099(18)30596-6","./publications/PMC6300482.xml",TRUE,FALSE,TRUE,TRUE,"10.1016/S1473-3099(18)30596-6",FALSE,"",FALSE,"","",TRUE
"30297526","","6300621","10.1128/IAI.00651-18","./publications/PMC6300621.xml",TRUE,FALSE,TRUE,TRUE,"10.1128/IAI.00651-18",FALSE,"",FALSE,"","",TRUE
"30396896","","6300625","10.1128/IAI.00694-18","./publications/PMC6300625.xml",TRUE,FALSE,TRUE,TRUE,"10.1128/IAI.00694-18",FALSE,"",FALSE,"","",TRUE
"30323029","","6300628","10.1128/IAI.00592-18","./publications/PMC6300628.xml",TRUE,FALSE,TRUE,TRUE,"10.1128/IAI.00592-18",FALSE,"",FALSE,"","",TRUE
"30323025","","6300636","10.1128/IAI.00587-18","./publications/PMC6300636.xml",TRUE,FALSE,TRUE,TRUE,"10.1128/IAI.00587-18",FALSE,"",FALSE,"","",TRUE
"30323028","","6300642","10.1128/IAI.00661-18","./publications/PMC6300642.xml",TRUE,FALSE,TRUE,TRUE,"10.1128/IAI.00661-18",TRUE,"field-specific repository",FALSE,"the rna transcriptomic data have been submitted to the national center for biotechnology information gene expression omnibus under accession number gse110415 .","",TRUE
"30267940","","6301067","10.1016/j.ijid.2018.09.019","./publications/PMC6301067.xml",TRUE,FALSE,TRUE,FALSE,"10.1016/j.ijid.2018.09.019",FALSE,"",FALSE,"","",TRUE
"30355435","","6302570","10.3201/eid2501.181259","./publications/PMC6302570.xml",TRUE,FALSE,TRUE,FALSE,"10.3201/eid2501.181259",FALSE,"",FALSE,"","",TRUE
"30561307","","6302571","10.3201/eid2501.181029","./publications/PMC6302571.xml",TRUE,FALSE,TRUE,FALSE,"10.3201/eid2501.181029",FALSE,"",FALSE,"","",TRUE
"30561313","","6302572","10.3201/eid2501.180782","./publications/PMC6302572.xml",TRUE,FALSE,TRUE,FALSE,"10.3201/eid2501.180782",FALSE,"",FALSE,"","",TRUE
"30561305","","6302573","10.3201/eid2501.180411","./publications/PMC6302573.xml",TRUE,FALSE,TRUE,FALSE,"10.3201/eid2501.180411",FALSE,"",FALSE,"","",TRUE
"30561298","","6302574","10.3201/eid2501.180395","./publications/PMC6302574.xml",TRUE,FALSE,TRUE,TRUE,"10.3201/eid2501.180395",FALSE,"",FALSE,"","",TRUE
