"","pmid","DOI","is_research.x","is_review.x","is_open_data","open_data_statements","is_open_code","open_code_statements","is_coi_pred","coi_text","is_fund_pred","fund_text","is_register_pred","register_text","is_success.y","Publication.Year","Journal.Book","Authors","COVID","COVID.Year"
"2081",32173725,"10.1093/cid/ciaa270",TRUE,FALSE,FALSE,"",FALSE,"",FALSE,"",FALSE,"",FALSE,"",TRUE,2021,"Clin Infect Dis","Mo P, Xing Y, Xiao Y, Deng L, Zhao Q, Wang H, Xiong Y, Cheng Z, Gao S, Liang K, Luo M, Chen T, Song S, Ma Z, Chen X, Zheng R, Cao Q, Wang F, Zhang Y.","TRUE","2021 TRUE"
"2082",32182347,"10.1093/cid/ciaa226",TRUE,FALSE,FALSE,"",FALSE,"",FALSE,"",FALSE,"",FALSE,"",TRUE,2021,"Clin Infect Dis","Fan C, Lei D, Fang C, Li C, Wang M, Liu Y, Bao Y, Sun Y, Huang J, Guo Y, Yu Y, Wang S.","TRUE","2021 TRUE"
"2103",32409826,"10.1093/cid/ciaa578",TRUE,FALSE,FALSE,"",FALSE,"",FALSE,"",FALSE,"",FALSE,"",TRUE,2021,"Clin Infect Dis","Deng X, Yang J, Wang W, Wang X, Zhou J, Chen Z, Li J, Chen Y, Yan H, Zhang J, Zhang Y, Wang Y, Qiu Q, Gong H, Wei X, Wang L, Sun K, Wu P, Ajelli M, Cowling BJ, Viboud C, Yu H.","TRUE","2021 TRUE"
"2114",32463434,"10.1093/cid/ciaa663",TRUE,FALSE,FALSE,"",FALSE,"",FALSE,"",FALSE,"",FALSE,"",TRUE,2021,"Clin Infect Dis","Zhang H, Ai JW, Yang W, Zhou X, He F, Xie S, Zeng W, Li Y, Yu Y, Gou X, Li Y, Wang X, Su H, Zhu Z, Xu T, Zhang W.","TRUE","2021 TRUE"
"2116",32472683,"10.1093/cid/ciaa673",TRUE,FALSE,FALSE,"",FALSE,"",FALSE,"",FALSE,"",FALSE,"",TRUE,2021,"Clin Infect Dis","Tam PCK, Ly KM, Kernich ML, Spurrier N, Lawrence D, Gordon DL, Tucker EC.","TRUE","2021 TRUE"
"2117",32472687,"10.1093/cid/ciaa672",TRUE,FALSE,FALSE,"",FALSE,"",FALSE,"",FALSE,"",FALSE,"",TRUE,2021,"Clin Infect Dis","Lee H, Lee H, Song KH, Kim ES, Park JS, Jung J, Ahn S, Jeong EK, Park H, Kim HB.","TRUE","2021 TRUE"
"2120",32474574,"10.1093/cid/ciaa692",TRUE,FALSE,FALSE,"",FALSE,"",FALSE,"",FALSE,"",FALSE,"",TRUE,2021,"Clin Infect Dis","Openshaw JJ, Travassos MA.","TRUE","2021 TRUE"
"2126",32511704,"10.1093/cid/ciaa743",TRUE,FALSE,FALSE,"",FALSE,"",FALSE,"",FALSE,"",FALSE,"",TRUE,2021,"Clin Infect Dis","O'Shea T, Bodkin C, Mokashi V, Beal K, Wiwcharuk J, Lennox R, Guenter D, Smieja M, Bulir D, Chong S.","TRUE","2021 TRUE"
"2128",32544232,"10.1093/cid/ciaa773",TRUE,FALSE,FALSE,"",FALSE,"",FALSE,"",FALSE,"",FALSE,"",TRUE,2021,"Clin Infect Dis","Nieuwlaat R, Mbuagbaw L, Mertz D, Burrows LL, Bowdish DME, Moja L, Wright GD, Schünemann HJ.","TRUE","2021 TRUE"
"2130",32556143,"10.1093/cid/ciaa791",TRUE,FALSE,FALSE,"",FALSE,"",FALSE,"",FALSE,"",FALSE,"",TRUE,2021,"Clin Infect Dis","Paccoud O, Tubach F, Baptiste A, Bleibtreu A, Hajage D, Monsel G, Tebano G, Boutolleau D, Klement E, Godefroy N, Palich R, Itani O, Faiçal A, Valantin MA, Tubiana R, Burrel S, Calvez V, Caumes E, Marcelin AG, Pourcher V.","TRUE","2021 TRUE"
