is_open_data,is_open_code,is_register_pred,is_coi_pred,is_fund_pred,DOI
FALSE,FALSE,TRUE,TRUE,TRUE,10.1093/cid/ciaa1007
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1009
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1012
FALSE,FALSE,FALSE,FALSE,TRUE,10.1093/cid/ciaa1019
FALSE,FALSE,FALSE,TRUE,FALSE,10.1093/cid/ciaa1020
FALSE,FALSE,FALSE,FALSE,FALSE,10.1093/cid/ciaa1021
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1028
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1042
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1043
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1044
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1055
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1056
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1057
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1065
FALSE,FALSE,FALSE,TRUE,FALSE,10.1093/cid/ciaa1071
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1085
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1095
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1097
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1119
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1150
FALSE,FALSE,FALSE,FALSE,TRUE,10.1093/cid/ciaa1157
FALSE,FALSE,FALSE,FALSE,FALSE,10.1093/cid/ciaa1163
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1165
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1166
FALSE,FALSE,TRUE,TRUE,TRUE,10.1093/cid/ciaa1177
TRUE,FALSE,FALSE,FALSE,FALSE,10.1093/cid/ciaa1180
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1186
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1196
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1200
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1207
FALSE,FALSE,TRUE,TRUE,TRUE,10.1093/cid/ciaa1223
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1234
FALSE,FALSE,FALSE,FALSE,TRUE,10.1093/cid/ciaa1241
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1246
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1247
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1248
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1249
FALSE,FALSE,FALSE,TRUE,FALSE,10.1093/cid/ciaa1256
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1257
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1258
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1268
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1269
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1275
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1280
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1283
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1286
TRUE,TRUE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1288
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1289
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1298
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1301
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1311
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1312
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1327
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1328
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1338
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1339
FALSE,FALSE,FALSE,FALSE,FALSE,10.1093/cid/ciaa1340
FALSE,FALSE,FALSE,TRUE,FALSE,10.1093/cid/ciaa1358
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1366
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1368
FALSE,TRUE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1374
FALSE,FALSE,FALSE,FALSE,TRUE,10.1093/cid/ciaa1385
FALSE,FALSE,FALSE,TRUE,FALSE,10.1093/cid/ciaa1389
FALSE,FALSE,TRUE,TRUE,TRUE,10.1093/cid/ciaa1417
FALSE,FALSE,FALSE,FALSE,TRUE,10.1093/cid/ciaa1419
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1420
FALSE,FALSE,FALSE,TRUE,TRUE,10.1093/cid/ciaa1422
FALSE,FALSE,TRUE,TRUE,TRUE,10.1093/cid/ciaa1443
FALSE,FALSE,FALSE,FALSE,TRUE,10.1093/cid/ciaa1445
