PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
30550944,"Clinical and aetiological study of hand, foot and mouth disease in southern Vietnam, 2013-2015: Inpatients and outpatients","Hoang MTV, Nguyen TA, Tran TT, Vu TTH, Le NTN, Nguyen THN, Le THN, Nguyen TTH, Nguyen TH, Le NTN, Truong HK, Du TQ, Ha MT, Ho LV, Do CV, Nguyen TN, Nguyen TMT, Sabanathan S, Phan TQ, Nguyen Van VC, Thwaites GE, Wills B, Thwaites CL, Le VT, van Doorn HR.",Int J Infect Dis. 2019 Mar;80:1-9. doi: 10.1016/j.ijid.2018.12.004. Epub 2018 Dec 11.,Hoang MTV,Int J Infect Dis,2019,2018/12/15,PMC6403263,,10.1016/j.ijid.2018.12.004
30409683,Attributable deaths and disability-adjusted life-years caused by infections with antibiotic-resistant bacteria in the EU and the European Economic Area in 2015: a population-level modelling analysis,"Cassini A, Högberg LD, Plachouras D, Quattrocchi A, Hoxha A, Simonsen GS, Colomb-Cotinat M, Kretzschmar ME, Devleesschauwer B, Cecchini M, Ouakrim DA, Oliveira TC, Struelens MJ, Suetens C, Monnet DL; Burden of AMR Collaborative Group.",Lancet Infect Dis. 2019 Jan;19(1):56-66. doi: 10.1016/S1473-3099(18)30605-4. Epub 2018 Nov 5.,Cassini A,Lancet Infect Dis,2019,2018/11/10,PMC6300481,,10.1016/S1473-3099(18)30605-4
31718563,"Diagnostic and prognostic value of interleukin-6, pentraxin 3, and procalcitonin levels among sepsis and septic shock patients: a prospective controlled study according to the Sepsis-3 definitions","Song J, Park DW, Moon S, Cho HJ, Park JH, Seok H, Choi WS.",BMC Infect Dis. 2019 Nov 12;19(1):968. doi: 10.1186/s12879-019-4618-7.,Song J,BMC Infect Dis,2019,2019/11/14,PMC6852730,,10.1186/s12879-019-4618-7
30792131,The global burden of typhoid and paratyphoid fevers: a systematic analysis for the Global Burden of Disease Study 2017,GBD 2017 Typhoid and Paratyphoid Collaborators.,Lancet Infect Dis. 2019 Apr;19(4):369-381. doi: 10.1016/S1473-3099(18)30685-6. Epub 2019 Feb 18.,GBD 2017 Typhoid and Paratyphoid Collaborators,Lancet Infect Dis,2019,2019/02/23,PMC6437314,,10.1016/S1473-3099(18)30685-6
31562022,The global burden of non-typhoidal salmonella invasive disease: a systematic analysis for the Global Burden of Disease Study 2017,GBD 2017 Non-Typhoidal Salmonella Invasive Disease Collaborators.,Lancet Infect Dis. 2019 Dec;19(12):1312-1324. doi: 10.1016/S1473-3099(19)30418-9. Epub 2019 Sep 24.,GBD 2017 Non-Typhoidal Salmonella Invasive Disease Collaborators,Lancet Infect Dis,2019,2019/09/29,PMC6892270,,10.1016/S1473-3099(19)30418-9
31409282,VRE in cirrhotic patients,"Barger M, Blodget E, Pena S, Mack W, Fong TL.",BMC Infect Dis. 2019 Aug 13;19(1):711. doi: 10.1186/s12879-019-4352-1.,Barger M,BMC Infect Dis,2019,2019/08/15,PMC6693083,,10.1186/s12879-019-4352-1
29715552,Monoclonal antibodies as anti-infective products: a promising future?,"Pelfrene E, Mura M, Cavaleiro Sanches A, Cavaleri M.",Clin Microbiol Infect. 2019 Jan;25(1):60-64. doi: 10.1016/j.cmi.2018.04.024. Epub 2018 Apr 30.,Pelfrene E,Clin Microbiol Infect,2019,2018/05/02,PMC7128139,,10.1016/j.cmi.2018.04.024
31039747,Acute ischemic stroke in young adults with tuberculous meningitis,"Zhang L, Zhang X, Li H, Chen G, Zhu M.",BMC Infect Dis. 2019 Apr 30;19(1):362. doi: 10.1186/s12879-019-4004-5.,Zhang L,BMC Infect Dis,2019,2019/05/02,PMC6492375,,10.1186/s12879-019-4004-5
31684884,Co-occurrence of human papillomavirus (HPV) in newborns and their parents,"Skoczyński M, Goździcka-Józefiak A, Kwaśniewska A.",BMC Infect Dis. 2019 Nov 4;19(1):930. doi: 10.1186/s12879-019-4503-4.,Skoczyński M,BMC Infect Dis,2019,2019/11/06,PMC6829917,,10.1186/s12879-019-4503-4
30772470,Clinical risk factors associated with multidrug-resistant tuberculosis (MDR-TB) in Mali,"Baya B, Achenbach CJ, Kone B, Toloba Y, Dabitao DK, Diarra B, Goita D, Diabaté S, Maiga M, Soumare D, Ouattara K, Kanoute T, Berthe G, Kamia YM, Sarro YDS, Sanogo M, Togo ACG, Dembele BPP, Coulibaly N, Kone A, Akanbi M, Belson M, Dao S, Orsega S, Siddiqui S, Doumbia S, Murphy RL, Diallo S.",Int J Infect Dis. 2019 Apr;81:149-155. doi: 10.1016/j.ijid.2019.02.004. Epub 2019 Feb 14.,Baya B,Int J Infect Dis,2019,2019/02/18,PMC6481646,NIHMS1526691,10.1016/j.ijid.2019.02.004
30764767,Urea dilution of serum for reproducible anti-HSV1 IgG avidity index,"Olsson J, Johansson J, Honkala E, Blomqvist B, Kok E, Weidung B, Lövheim H, Elgh F.",BMC Infect Dis. 2019 Feb 14;19(1):164. doi: 10.1186/s12879-019-3769-x.,Olsson J,BMC Infect Dis,2019,2019/02/16,PMC6376645,,10.1186/s12879-019-3769-x
30782129,Melioidosis: misdiagnosed in Nepal,"Shrestha N, Adhikari M, Pant V, Baral S, Shrestha A, Basnyat B, Sharma S, Sherchand JB.",BMC Infect Dis. 2019 Feb 19;19(1):176. doi: 10.1186/s12879-019-3793-x.,Shrestha N,BMC Infect Dis,2019,2019/02/21,PMC6381653,,10.1186/s12879-019-3793-x
30772468,Acute Respiratory Illness in Rural Haiti,"Kim YY, Lew JF, Keith B, Telisma T, Nelson EJ, Brantly AC, Chavannes S, Anilis G, Yang Y, Liu M, Alam MT, Rashid MH, Morris JG Jr, Madsen Beau De Rochars VE.",Int J Infect Dis. 2019 Apr;81:176-183. doi: 10.1016/j.ijid.2019.02.003. Epub 2019 Feb 14.,Kim YY,Int J Infect Dis,2019,2019/02/18,PMC7173118,,10.1016/j.ijid.2019.02.003
31718571,Spectrum of clinical and radiographic findings in patients with diagnosis of H1N1 and correlation with clinical severity,"Schoen K, Horvat N, Guerreiro NFC, de Castro I, de Giassi KS.",BMC Infect Dis. 2019 Nov 12;19(1):964. doi: 10.1186/s12879-019-4592-0.,Schoen K,BMC Infect Dis,2019,2019/11/14,PMC6852716,,10.1186/s12879-019-4592-0
31870418,Validating a screening agar for linezolid-resistant enterococci,"Werner G, Fleige C, Klare I, Weber RE, Bender JK.",BMC Infect Dis. 2019 Dec 23;19(1):1078. doi: 10.1186/s12879-019-4711-y.,Werner G,BMC Infect Dis,2019,2019/12/25,PMC6929501,,10.1186/s12879-019-4711-y
30340981,"Confronting the threat of bioterrorism: realities, challenges, and defensive strategies","Green MS, LeDuc J, Cohen D, Franz DR.",Lancet Infect Dis. 2019 Jan;19(1):e2-e13. doi: 10.1016/S1473-3099(18)30298-6. Epub 2018 Oct 16.,Green MS,Lancet Infect Dis,2019,2018/10/21,PMC7106434,,10.1016/S1473-3099(18)30298-6
30866826,Seasonality and the effects of weather on Campylobacter infections,"Djennad A, Lo Iacono G, Sarran C, Lane C, Elson R, Höser C, Lake IR, Colón-González FJ, Kovats S, Semenza JC, Bailey TC, Kessel A, Fleming LE, Nichols GL.",BMC Infect Dis. 2019 Mar 13;19(1):255. doi: 10.1186/s12879-019-3840-7.,Djennad A,BMC Infect Dis,2019,2019/03/15,PMC6417031,,10.1186/s12879-019-3840-7
31053493,Standing on the shoulders of giants: two centuries of struggle against meningococcal disease,"Domingo P, Pomar V, Mauri A, Barquet N.",Lancet Infect Dis. 2019 Aug;19(8):e284-e294. doi: 10.1016/S1473-3099(19)30040-4. Epub 2019 Apr 30.,Domingo P,Lancet Infect Dis,2019,2019/05/05,PMC7106525,,10.1016/S1473-3099(19)30040-4
30634929,Using clinical practice guidelines to manage dengue: a qualitative study in a Malaysian hospital,"Wharton-Smith A, Green J, Loh EC, Gorrie A, Omar SFS, Bacchus L, Lum LCS.",BMC Infect Dis. 2019 Jan 11;19(1):45. doi: 10.1186/s12879-019-3680-5.,Wharton-Smith A,BMC Infect Dis,2019,2019/01/13,PMC6329084,,10.1186/s12879-019-3680-5
30683056,The respiratory microbiota: new insights into pulmonary tuberculosis,"Eshetie S, van Soolingen D.",BMC Infect Dis. 2019 Jan 25;19(1):92. doi: 10.1186/s12879-019-3712-1.,Eshetie S,BMC Infect Dis,2019,2019/01/27,PMC6347808,,10.1186/s12879-019-3712-1
31818269,Associated factors in distinguishing patients with brucellosis from suspected cases,"Luo J, Yang H, Hu F, Zhang S, Wang T, Zhao Q, Wang R, Zhen Q.",BMC Infect Dis. 2019 Dec 9;19(1):1038. doi: 10.1186/s12879-019-4662-3.,Luo J,BMC Infect Dis,2019,2019/12/11,PMC6902461,,10.1186/s12879-019-4662-3
31382901,Risk factors for viral hepatitis C infection in Rwanda: results from a nationwide screening program,"Makuza JD, Liu CY, Ntihabose CK, Dushimiyimana D, Umuraza S, Nisingizwe MP, Umutesi J, Serumondo J, Mugeni SD, Semakula M, Gupta N, Hellard M, Nsanzimana S.",BMC Infect Dis. 2019 Aug 5;19(1):688. doi: 10.1186/s12879-019-4322-7.,Makuza JD,BMC Infect Dis,2019,2019/08/07,PMC6683524,,10.1186/s12879-019-4322-7
31801482,Cytomegalovirus infection in HIV-infected patients in the era of combination antiretroviral therapy,"Perello R, Vergara A, Monclus E, Jimenez S, Montero M, Saubi N, Moreno A, Eto Y, Inciarte A, Mallolas J, Martínez E, Marcos MA.",BMC Infect Dis. 2019 Dec 4;19(1):1030. doi: 10.1186/s12879-019-4643-6.,Perello R,BMC Infect Dis,2019,2019/12/06,PMC6894188,,10.1186/s12879-019-4643-6
30704406,Recognition of aerosol transmission of infectious agents: a commentary,"Tellier R, Li Y, Cowling BJ, Tang JW.",BMC Infect Dis. 2019 Jan 31;19(1):101. doi: 10.1186/s12879-019-3707-y.,Tellier R,BMC Infect Dis,2019,2019/02/02,PMC6357359,,10.1186/s12879-019-3707-y
30678651,Sub-clinical abnormalities detected by PET/MRI in household tuberculosis contacts,"Molton JS, Thomas BA, Pang Y, Khor LK, Hallinan J, Naftalin CM, Totman JJ, Townsend DW, Lim TK, Chee CBE, Wang YT, Paton NI.",BMC Infect Dis. 2019 Jan 24;19(1):83. doi: 10.1186/s12879-019-3705-0.,Molton JS,BMC Infect Dis,2019,2019/01/26,PMC6346497,,10.1186/s12879-019-3705-0
31771564,Dengue infection during pregnancy in Burkina Faso: a cross-sectional study,"Sondo KA, Ouattara A, Diendéré EA, Diallo I, Zoungrana J, Zémané G, Da L, Gnamou A, Meda B, Poda A, Zamané H, Ouédraogo A, Ouédraogo M, Thieba/Bonané B.",BMC Infect Dis. 2019 Nov 27;19(1):997. doi: 10.1186/s12879-019-4587-x.,Sondo KA,BMC Infect Dis,2019,2019/11/28,PMC6880640,,10.1186/s12879-019-4587-x
31129282,A prospective prediction tool for understanding Crimean-Congo haemorrhagic fever dynamics in Turkey,"Ak Ç, Ergönül Ö, Gönen M.",Clin Microbiol Infect. 2020 Jan;26(1):123.e1-123.e7. doi: 10.1016/j.cmi.2019.05.006. Epub 2019 May 24.,Ak Ç,Clin Microbiol Infect,2019,2019/05/27,PMC7129556,,10.1016/j.cmi.2019.05.006
31345710,"Determinants of dihydroartemisinin-piperaquine treatment failure in Plasmodium falciparum malaria in Cambodia, Thailand, and Vietnam: a prospective clinical, pharmacological, and genetic study","van der Pluijm RW, Imwong M, Chau NH, Hoa NT, Thuy-Nhien NT, Thanh NV, Jittamala P, Hanboonkunupakarn B, Chutasmit K, Saelow C, Runjarern R, Kaewmok W, Tripura R, Peto TJ, Yok S, Suon S, Sreng S, Mao S, Oun S, Yen S, Amaratunga C, Lek D, Huy R, Dhorda M, Chotivanich K, Ashley EA, Mukaka M, Waithira N, Cheah PY, Maude RJ, Amato R, Pearson RD, Gonçalves S, Jacob CG, Hamilton WL, Fairhurst RM, Tarning J, Winterberg M, Kwiatkowski DP, Pukrittayakamee S, Hien TT, Day NP, Miotto O, White NJ, Dondorp AM.",Lancet Infect Dis. 2019 Sep;19(9):952-961. doi: 10.1016/S1473-3099(19)30391-3. Epub 2019 Jul 22.,van der Pluijm RW,Lancet Infect Dis,2019,2019/07/27,PMC6715822,,10.1016/S1473-3099(19)30391-3
30930106,"Epidemiological characteristics of an urban plague epidemic in Madagascar, August-November, 2017: an outbreak report","Randremanana R, Andrianaivoarimanana V, Nikolay B, Ramasindrazana B, Paireau J, Ten Bosch QA, Rakotondramanga JM, Rahajandraibe S, Rahelinirina S, Rakotomanana F, Rakotoarimanana FM, Randriamampionona LB, Razafimbia V, De Dieu Randria MJ, Raberahona M, Mikaty G, Le Guern AS, Rakotonjanabelo LA, Ndiaye CF, Rasolofo V, Bertherat E, Ratsitorahina M, Cauchemez S, Baril L, Spiegel A, Rajerison M.",Lancet Infect Dis. 2019 May;19(5):537-545. doi: 10.1016/S1473-3099(18)30730-8. Epub 2019 Mar 28.,Randremanana R,Lancet Infect Dis,2019,2019/04/02,PMC6483974,,10.1016/S1473-3099(18)30730-8
