"","COVID.Year.Journal","is_open_code","is_open_data","is_register_pred","is_coi_pred","is_fund_pred"
"1","BMC Infect Dis 2019","7(1)","104(11)","84(9)","907(100)","907(100)"
"2","BMC Infect Dis 2021 FALSE","12(2)","78(10)","66(9)","757(100)","757(100)"
"3","BMC Infect Dis 2021 TRUE","9(3)","17(6)","27(9)","292(100)","292(100)"
"4","Clin Infect Dis 2019","0(0)","11(5)","37(16)","233(100)","225(97)"
"5","Clin Infect Dis 2021 FALSE","5(2)","19(8)","48(19)","248(100)","236(95)"
"6","Clin Infect Dis 2021 TRUE","11(3)","10(3)","18(5)","343(93)","315(85)"
"7","Clin Microbiol Infect 2019","0(0)","2(9)","3(14)","20(91)","20(91)"
"8","Clin Microbiol Infect 2021 FALSE","0(0)","2(18)","1(9)","7(64)","10(91)"
"9","Clin Microbiol Infect 2021 TRUE","0(0)","7(4)","19(12)","116(72)","137(85)"
"10","Emerg Infect Dis 2019","5(1)","62(18)","3(1)","21(6)","243(69)"
"11","Emerg Infect Dis 2021 FALSE","1(0)","62(20)","1(0)","20(7)","186(61)"
"12","Emerg Infect Dis 2021 TRUE","8(3)","12(5)","2(1)","20(8)","160(63)"
"13","Infect Immun 2019","1(2)","11(19)","0(0)","29(51)","56(98)"
"14","Infect Immun 2021 FALSE","1(2)","16(32)","1(2)","28(56)","50(100)"
"15","Int J Infect Dis 2019","0(0)","4(11)","1(3)","35(100)","35(100)"
"16","Int J Infect Dis 2021 FALSE","0(0)","4(11)","3(8)","36(97)","37(100)"
"17","Int J Infect Dis 2021 TRUE","12(2)","19(4)","22(4)","498(97)","499(97)"
"18","J Antimicrob Chemother 2019","1(1)","14(16)","9(10)","28(33)","84(98)"
"19","J Antimicrob Chemother 2021 FALSE","1(1)","13(13)","8(8)","42(42)","98(97)"
"20","J Antimicrob Chemother 2021 TRUE","0(0)","2(8)","3(12)","7(28)","23(92)"
"21","J Infect Dis 2019","3(2)","9(7)","21(17)","126(100)","126(100)"
"22","J Infect Dis 2021 FALSE","4(4)","6(5)","12(11)","114(100)","106(93)"
"23","J Infect Dis 2021 TRUE","4(3)","3(2)","13(9)","141(99)","138(97)"
"24","Lancet Infect Dis 2019","2(5)","2(5)","10(25)","40(100)","35(88)"
"25","Lancet Infect Dis 2021 FALSE","3(11)","4(14)","12(43)","28(100)","27(96)"
"26","Lancet Infect Dis 2021 TRUE","8(11)","5(7)","22(30)","73(100)","64(88)"
